Week,Team,Team Full Name,Conference,Division,Opponent,Opponent Full Name,Opponent Division,Home/Away,Result,Win Flag,Loss Flag,Tie Flag,Points For,Points Against,Total Yards,Yards Allowed,Passing Yards,Passing Yards Allowed,Rushing Yards,Rushing Yards Allowed,Turnovers,Takeaways
1,DAL,Dallas Cowboys,NFC,NFC East,PHI,Philadelphia Eagles,NFC East,Away,L,0.0,1.0,0.0,20.0,24.0,307.0,302.0,188.0,144.0,119.0,158.0,1.0,0.0
1,PHI,Philadelphia Eagles,NFC,NFC East,DAL,Dallas Cowboys,NFC East,Home,W,1.0,0.0,0.0,24.0,20.0,302.0,307.0,144.0,188.0,158.0,119.0,0.0,1.0
1,KC,Kansas City Chiefs,AFC,AFC West,LAC,Los Angeles Chargers,AFC West,Away,L,0.0,1.0,0.0,21.0,27.0,347.0,394.0,249.0,304.0,98.0,90.0,0.0,0.0
1,LAC,Los Angeles Chargers,AFC,AFC West,KC,Kansas City Chiefs,AFC West,Home,W,1.0,0.0,0.0,27.0,21.0,394.0,347.0,304.0,249.0,90.0,98.0,0.0,0.0
1,TB,Tampa Bay Buccaneers,NFC,NFC South,ATL,Atlanta Falcons,NFC South,Away,W,1.0,0.0,0.0,23.0,20.0,260.0,358.0,159.0,289.0,101.0,69.0,0.0,0.0
1,ATL,Atlanta Falcons,NFC,NFC South,TB,Tampa Bay Buccaneers,NFC South,Home,L,0.0,1.0,0.0,20.0,23.0,358.0,260.0,289.0,159.0,69.0,101.0,0.0,0.0
1,CIN,Cincinnati Bengals,AFC,AFC North,CLE,Cleveland Browns,AFC North,Away,W,1.0,0.0,0.0,17.0,16.0,141.0,327.0,95.0,278.0,46.0,49.0,0.0,2.0
1,CLE,Cleveland Browns,AFC,AFC North,CIN,Cincinnati Bengals,AFC North,Home,L,0.0,1.0,0.0,16.0,17.0,327.0,141.0,278.0,95.0,49.0,46.0,2.0,0.0
1,MIA,Miami Dolphins,AFC,AFC East,IND,Indianapolis Colts,AFC South,Away,L,0.0,1.0,0.0,8.0,33.0,211.0,418.0,133.0,262.0,78.0,156.0,3.0,0.0
1,IND,Indianapolis Colts,AFC,AFC South,MIA,Miami Dolphins,AFC East,Home,W,1.0,0.0,0.0,33.0,8.0,418.0,211.0,262.0,133.0,156.0,78.0,0.0,3.0
1,LV,Las Vegas Raiders,AFC,AFC West,NE,New England Patriots,AFC East,Away,W,1.0,0.0,0.0,20.0,13.0,389.0,336.0,333.0,276.0,56.0,60.0,1.0,1.0
1,NE,New England Patriots,AFC,AFC East,LV,Las Vegas Raiders,AFC West,Home,L,0.0,1.0,0.0,13.0,20.0,336.0,389.0,276.0,333.0,60.0,56.0,1.0,1.0
1,ARI,Arizona Cardinals,NFC,NFC West,NO,New Orleans Saints,NFC South,Away,W,1.0,0.0,0.0,20.0,13.0,276.0,315.0,130.0,208.0,146.0,107.0,0.0,0.0
1,NO,New Orleans Saints,NFC,NFC South,ARI,Arizona Cardinals,NFC West,Home,L,0.0,1.0,0.0,13.0,20.0,315.0,276.0,208.0,130.0,107.0,146.0,0.0,0.0
1,PIT,Pittsburgh Steelers,AFC,AFC North,NYJ,New York Jets,AFC East,Away,W,1.0,0.0,0.0,34.0,32.0,271.0,394.0,218.0,212.0,53.0,182.0,0.0,1.0
1,NYJ,New York Jets,AFC,AFC East,PIT,Pittsburgh Steelers,AFC North,Home,L,0.0,1.0,0.0,32.0,34.0,394.0,271.0,212.0,218.0,182.0,53.0,1.0,0.0
1,NYG,New York Giants,NFC,NFC East,WSH,Washington Commanders,NFC East,Away,L,0.0,1.0,0.0,6.0,21.0,231.0,432.0,157.0,212.0,74.0,220.0,0.0,0.0
1,WSH,Washington Commanders,NFC,NFC East,NYG,New York Giants,NFC East,Home,W,1.0,0.0,0.0,21.0,6.0,432.0,231.0,212.0,157.0,220.0,74.0,0.0,0.0
1,CAR,Carolina Panthers,NFC,NFC South,JAX,Jacksonville Jaguars,AFC South,Away,L,0.0,1.0,0.0,10.0,26.0,255.0,378.0,142.0,178.0,113.0,200.0,3.0,1.0
1,JAX,Jacksonville Jaguars,AFC,AFC South,CAR,Carolina Panthers,NFC South,Home,W,1.0,0.0,0.0,26.0,10.0,378.0,255.0,178.0,142.0,200.0,113.0,1.0,3.0
1,TEN,Tennessee Titans,AFC,AFC South,DEN,Denver Broncos,AFC West,Away,L,0.0,1.0,0.0,12.0,20.0,133.0,317.0,62.0,166.0,71.0,151.0,2.0,4.0
1,DEN,Denver Broncos,AFC,AFC West,TEN,Tennessee Titans,AFC South,Home,W,1.0,0.0,0.0,20.0,12.0,317.0,133.0,166.0,62.0,151.0,71.0,4.0,2.0
1,SF,San Francisco 49ers,NFC,NFC West,SEA,Seattle Seahawks,NFC West,Away,W,1.0,0.0,0.0,17.0,13.0,384.0,230.0,265.0,146.0,119.0,84.0,2.0,2.0
1,SEA,Seattle Seahawks,NFC,NFC West,SF,San Francisco 49ers,NFC West,Home,L,0.0,1.0,0.0,13.0,17.0,230.0,384.0,146.0,265.0,84.0,119.0,2.0,2.0
1,DET,Detroit Lions,NFC,NFC North,GB,Green Bay Packers,NFC North,Away,L,0.0,1.0,0.0,13.0,27.0,246.0,266.0,200.0,188.0,46.0,78.0,1.0,0.0
1,GB,Green Bay Packers,NFC,NFC North,DET,Detroit Lions,NFC North,Home,W,1.0,0.0,0.0,27.0,13.0,266.0,246.0,188.0,200.0,78.0,46.0,0.0,1.0
1,HOU,Houston Texans,AFC,AFC South,LAR,Los Angeles Rams,NFC West,Away,L,0.0,1.0,0.0,9.0,14.0,265.0,296.0,151.0,224.0,114.0,72.0,2.0,1.0
1,LAR,Los Angeles Rams,NFC,NFC West,HOU,Houston Texans,AFC South,Home,W,1.0,0.0,0.0,14.0,9.0,296.0,265.0,224.0,151.0,72.0,114.0,1.0,2.0
